Time,Time Code,Country Name,Country Code,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage,Country
2015,YR2015,Tuvalu,TUV,88.266,0,0%,tuvalu
2015,YR2015,Uganda,UGA,528879.2358,471009,89%,uganda
2015,YR2015,Ukraine,UKR,1989251.047,82440.89,4%,ukraine
2015,YR2015,United Arab Emirates,ARE,2093160.892,2869.892,0%,united arab emirates
2015,YR2015,United Kingdom,GBR,4926228.068,429157.5,9%,united kingdom
2015,YR2015,United States,USA,58483061.91,5097931,9%,united states
2015,YR2015,Uruguay,URY,184450.9394,107022.2,58%,uruguay
2015,YR2015,Uzbekistan,UZB,1169202.042,34727.39,3%,uzbekistan
2015,YR2015,Vanuatu,VUT,2418.6033,873.3834,36%,vanuatu
2015,YR2015,Virgin Islands (U.S.),VIR,2359.8,91.50184,4%,virgin islands (u.s.)
2015,YR2015,West Bank and Gaza,PSE,63990.57,6701.55,10%,west bank and gaza
2015,YR2015,"Yemen, Rep.",YEM,106887.3293,2433.201,2%,"yemen, rep."
2015,YR2015,Zambia,ZMB,342874.6366,301679.8,88%,zambia
2015,YR2015,Zimbabwe,ZWE,396615.2709,324422.6,82%,zimbabwe
