Time_x,Time Code_x,Country Name_x,Country Code_x,GDP (current US$) [NY.GDP.MKTP.CD],Country,Time_y,Time Code_y,Country Name_y,Country Code_y,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage
2015,YR2015,"Korea, Rep.",KOR,1466038936206.43,"korea, rep.",2015,YR2015,"Korea, Rep.",KOR,5312174.577,143837.9,3%
2015,YR2015,Kosovo,XKX,6295848422.71573,kosovo,2015,YR2015,Kosovo,XKX,55849.10684,11421.65,20%
2015,YR2015,Kuwait,KWT,114585555830.916,kuwait,2015,YR2015,Kuwait,KWT,616547.205,0.0,0%
2015,YR2015,Kyrgyz Republic,KGZ,6678177511.66313,kyrgyz republic,2015,YR2015,Kyrgyz Republic,KGZ,139850.3825,32594.68,23%
2015,YR2015,Lao PDR,LAO,14426380125.6488,lao pdr,2015,YR2015,Lao PDR,LAO,122192.697,72479.65,59%
2015,YR2015,Latvia,LVA,27263090547.0617,latvia,2015,YR2015,Latvia,LVA,154231.4125,58759.11,38%
2015,YR2015,Lebanon,LBN,49929337836.8159,lebanon,2015,YR2015,Lebanon,LBN,202341.1358,7378.814,4%
2015,YR2015,Lesotho,LSO,2359686724.53829,lesotho,2015,YR2015,Lesotho,LSO,55693.27226,29038.03,52%
2015,YR2015,Liberia,LBR,3227075700,liberia,2015,YR2015,Liberia,LBR,82192.82071,68916.25,84%
2015,YR2015,Libya,LBY,48717501321.3052,libya,2015,YR2015,Libya,LBY,322939.9001,6350.789,2%
2015,YR2015,Liechtenstein,LIE,6268515276.17441,liechtenstein,2015,YR2015,Liechtenstein,LIE,2873.642276,1814.258,63%
2015,YR2015,Lithuania,LTU,41435533340.3883,lithuania,2015,YR2015,Lithuania,LTU,199779.9865,57858.64,29%
2015,YR2015,Luxembourg,LUX,60071584216.1375,luxembourg,2015,YR2015,Luxembourg,LUX,148287.2869,13392.29,9%
2015,YR2015,"Macao SAR, China",MAC,45048190598.3249,"macao sar, china",2015,YR2015,"Macao SAR, China",MAC,34125.7,2406.327,7%
2015,YR2015,Madagascar,MDG,11323020701.3017,madagascar,2015,YR2015,Madagascar,MDG,131031.3151,91950.46,70%
2015,YR2015,Malawi,MWI,9219474379.31534,malawi,2015,YR2015,Malawi,MWI,60637.54141,50722.96,84%
2015,YR2015,Malaysia,MYS,301355266964.947,malaysia,2015,YR2015,Malaysia,MYS,1911611.656,99297.57,5%
2015,YR2015,Maldives,MDV,4129505319.12921,maldives,2015,YR2015,Maldives,MDV,15870.54697,160.2282,1%
2015,YR2015,Mali,MLI,13104764378.326,mali,2015,YR2015,Mali,MLI,77716.7778,47816.79,62%
2015,YR2015,Malta,MLT,11091483659.6156,malta,2015,YR2015,Malta,MLT,19161.30888,1026.089,5%
2015,YR2015,Marshall Islands,MHL,183222930.908203,marshall islands,2015,YR2015,Marshall Islands,MHL,1662.684,185.6301,11%
2015,YR2015,Mauritania,MRT,6166863896.68677,mauritania,2015,YR2015,Mauritania,MRT,41714.4538,13415.19,32%
2015,YR2015,Mauritius,MUS,12007291045.6489,mauritius,2015,YR2015,Mauritius,MUS,33474.93138,3862.124,12%
2015,YR2015,Mexico,MEX,1213294467716.88,mexico,2015,YR2015,Mexico,MEX,4793389.78,441721.1,9%
2015,YR2015,"Micronesia, Fed. Sts.",FSM,316489900,"micronesia, fed. sts.",2015,YR2015,"Micronesia, Fed. Sts.",FSM,1651.817805,19.75967,1%
2015,YR2015,Moldova,MDA,7797667196.73087,moldova,2015,YR2015,Moldova,MDA,96135.83622,13722.13,14%
2015,YR2015,Monaco,MCO,6261649890.82388,monaco,2015,YR2015,Monaco,MCO,0.0,0.0,#DIV/0!
2015,YR2015,Mongolia,MNG,11619892590.6941,mongolia,2015,YR2015,Mongolia,MNG,130283.4189,4468.379,3%
2015,YR2015,Montenegro,MNE,4054730077.57718,montenegro,2015,YR2015,Montenegro,MNE,27696.89617,11910.79,43%
2015,YR2015,Morocco,MAR,110413823841.592,morocco,2015,YR2015,Morocco,MAR,604023.2721,68360.09,11%
2015,YR2015,Mozambique,MOZ,16208985769.615,mozambique,2015,YR2015,Mozambique,MOZ,435993.381,376700.5,86%
2015,YR2015,Myanmar,MMR,59607290407.6191,myanmar,2015,YR2015,Myanmar,MMR,731366.0082,449993.5,62%
2015,YR2015,Namibia,NAM,11335161083.5061,namibia,2015,YR2015,Namibia,NAM,71287.30382,18868.63,26%
2015,YR2015,Nepal,NPL,24360801286.7638,nepal,2015,YR2015,Nepal,NPL,483589.677,412327.7,85%
2015,YR2015,Netherlands,NLD,765572770634.375,netherlands,2015,YR2015,Netherlands,NLD,1823259.583,107380.2,6%
2015,YR2015,New Caledonia,NCL,8738203074.3957,new caledonia,2015,YR2015,New Caledonia,NCL,33328.6252,1586.183,5%
2015,YR2015,New Zealand,NZL,178104220784.881,new zealand,2015,YR2015,New Zealand,NZL,530286.6902,163270.9,31%
2015,YR2015,Nicaragua,NIC,12756706583.3113,nicaragua,2015,YR2015,Nicaragua,NIC,103807.4355,50040.28,48%
2015,YR2015,Niger,NER,9683867926.44282,niger,2015,YR2015,Niger,NER,113793.6234,89828.49,79%
2015,YR2015,Nigeria,NGA,493026682800.63,nigeria,2015,YR2015,Nigeria,NGA,4987286.894,4320767.0,87%
2015,YR2015,Northern Mariana Islands,MNP,910000000,northern mariana islands,2015,YR2015,Northern Mariana Islands,MNP,1203.12,0.0,0%
2015,YR2015,Norway,NOR,388159512245.53,norway,2015,YR2015,Norway,NOR,756219.7741,436883.3,58%
2015,YR2015,Oman,OMN,78710793237.9714,oman,2015,YR2015,Oman,OMN,753718.831,0.0,0%
2015,YR2015,Pakistan,PAK,299963590534.773,pakistan,2015,YR2015,Pakistan,PAK,3111795.097,1446248.0,46%
2015,YR2015,Palau,PLW,287215972.900391,palau,2015,YR2015,Palau,PLW,2291.5,0.0,0%
2015,YR2015,Panama,PAN,54091800000,panama,2015,YR2015,Panama,PAN,144680.275,30721.63,21%
2015,YR2015,Papua New Guinea,PNG,21723437010.0982,papua new guinea,2015,YR2015,Papua New Guinea,PNG,115716.2284,60749.46,52%
2015,YR2015,Paraguay,PRY,36211447840.0971,paraguay,2015,YR2015,Paraguay,PRY,204860.5008,126351.8,62%
2015,YR2015,Peru,PER,189802976285.619,peru,2015,YR2015,Peru,PER,738633.5394,188380.4,26%
2015,YR2015,Philippines,PHL,306445871246.718,philippines,2015,YR2015,Philippines,PHL,1195481.371,328178.1,27%
2015,YR2015,Poland,POL,477111287969.227,poland,2015,YR2015,Poland,POL,2537766.018,302285.7,12%
2015,YR2015,Portugal,PRT,199394066525.44,portugal,2015,YR2015,Portugal,PRT,625305.572,169816.1,27%
2015,YR2015,Puerto Rico,PRI,103375500000,puerto rico,2015,YR2015,Puerto Rico,PRI,62946.0,1156.599,2%
2015,YR2015,Qatar,QAT,161739955576.923,qatar,2015,YR2015,Qatar,QAT,578356.1365,0.0,0%
2015,YR2015,Romania,ROU,177883883008.747,romania,2015,YR2015,Romania,ROU,893623.6838,211769.1,24%
2015,YR2015,Russian Federation,RUS,1363482182197.71,russian federation,2015,YR2015,Russian Federation,RUS,15809140.43,522370.1,3%
2015,YR2015,Rwanda,RWA,8543759088.57783,rwanda,2015,YR2015,Rwanda,RWA,79544.51823,68929.6,87%
2015,YR2015,Samoa,WSM,824150498.653536,samoa,2015,YR2015,Samoa,WSM,4146.637665,1423.329,34%
2015,YR2015,San Marino,SMR,1419400403.82788,san marino,2015,YR2015,San Marino,SMR,0.0,0.0,#DIV/0!
2015,YR2015,Sao Tome and Principe,STP,259999643.047388,sao tome and principe,2015,YR2015,Sao Tome and Principe,STP,1955.125,802.6961,41%
2015,YR2015,Saudi Arabia,SAU,669484266666.667,saudi arabia,2015,YR2015,Saudi Arabia,SAU,4773763.695,285.306,0%
2015,YR2015,Senegal,SEN,17774766696.1759,senegal,2015,YR2015,Senegal,SEN,114203.5111,48778.32,43%
2015,YR2015,Serbia,SRB,39655949731.3816,serbia,2015,YR2015,Serbia,SRB,330294.2237,69936.12,21%
2015,YR2015,Seychelles,SYC,1432403352.12944,seychelles,2015,YR2015,Seychelles,SYC,4277.6051,57.87324,1%
2015,YR2015,Sierra Leone,SLE,4252029353.82191,sierra leone,2015,YR2015,Sierra Leone,SLE,54796.5927,42555.34,78%
2015,YR2015,Singapore,SGP,307998545269.398,singapore,2015,YR2015,Singapore,SGP,439604.8309,3115.195,1%
2015,YR2015,Sint Maarten (Dutch part),SXM,1417888715.0838,sint maarten (dutch part),2015,YR2015,Sint Maarten (Dutch part),SXM,8338.3635,3.8635,0%
2015,YR2015,Slovak Republic,SVK,88900883130.8374,slovak republic,2015,YR2015,Slovak Republic,SVK,376732.2415,50516.66,13%
2015,YR2015,Slovenia,SVN,43107506024.3254,slovenia,2015,YR2015,Slovenia,SVN,195249.1571,40762.94,21%
2015,YR2015,Solomon Islands,SLB,1307909887.55212,solomon islands,2015,YR2015,Solomon Islands,SLB,5078.3015,3214.943,63%
2015,YR2015,Somalia,SOM,6984947145.09508,somalia,2015,YR2015,Somalia,SOM,104906.4283,98912.04,94%
2015,YR2015,South Africa,ZAF,346709790458.563,south africa,2015,YR2015,South Africa,ZAF,2942891.797,504710.1,17%
